"city","num_stations"
"Agartala",1
"Agra",1
"Ahmedabad",1
"Aizawl",1
"Ajmer",1
"Alwar",1
"Amaravati",1
"Ambala",1
"Amritsar",1
"Ankleshwar",1
"Asansol",1
"Aurangabad",1
"Bagalkot",1
"Baghpat",1
"Bahadurgarh",1
"Ballabgarh",1
"Bathinda",1
"Bengaluru",10
"Bhiwadi",1
"Bhiwani",1
"Bhopal",1
"Brajrajnagar",1
"Bulandshahr",1
"Chamarajanagar",1
"Chandigarh",1
"Chandrapur",2
"Charkhi Dadri",1
"Chennai",7
"Chikkaballapur",1
"Chikkamagaluru",1
"Coimbatore",1
"Damoh",1
"Delhi",38
"Dewas",1
"Dharuhera",1
"Eloor",1
"Ernakulam",1
"Faridabad",4
"Fatehabad",1
"Gandhinagar",1
"Gaya",2
"Ghaziabad",4
"Greater Noida",2
"Gurugram",4
"Guwahati",1
"Gwalior",2
"Hajipur",1
"Hapur",1
"Hisar",1
"Howrah",3
"Hubballi",1
"Hyderabad",6
"Indore",1
"Jabalpur",1
"Jaipur",3
"Jalandhar",1
"Jind",1
"Jodhpur",1
"Jorapokhar",1
"Kaithal",1
"Kalaburagi",1
"Kalyan",1
"Kannur",1
"Kanpur",1
"Karnal",1
"Katni",1
"Khanna",1
"Kochi",1
"Kohima",1
"Kolkata",7
"Kollam",1
"Kota",1
"Kozhikode",1
"Kurukshetra",1
"Lucknow",4
"Ludhiana",1
"Madikeri",1
"Maihar",1
"Mandi Gobindgarh",1
"Mandideep",1
"Mandikhera",1
"Manesar",1
"Meerut",3
"Moradabad",1
"Mumbai",16
"Muzaffarnagar",1
"Muzaffarpur",2
"Mysuru",1
"Nagpur",1
"Nandesari",1
"Narnaul",1
"Nashik",1
"Navi Mumbai",4
"Noida",4
"Pali",1
"Palwal",1
"Panchkula",1
"Panipat",1
"Patiala",1
"Patna",6
"Pithampur",1
"Pune",5
"Rajamahendravaram",1
"Ramanagara",1
"Ratlam",1
"Rohtak",1
"Rupnagar",1
"Sagar",1
"Satna",1
"Shillong",1
"Shivamogga",1
"Siliguri",1
"Singrauli",1
"Sirsa",1
"Solapur",1
"Sonipat",1
"Talcher",1
"Thane",1
"Thiruvananthapuram",2
"Thoothukudi",1
"Thrissur",1
"Tirupati",1
"Udaipur",1
"Ujjain",1
"Vapi",1
"Varanasi",1
"Vatva",1
"Vijayapura",1
"Visakhapatnam",1
"Yadgir",1
"Yamunanagar",1
